threshold,normal_time,aqi_time,average_normal_exp_history,average_route_exp_history,total_normal_exp_history,total_route_exp
77,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
76,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
75,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
74,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
73,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
72,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
71,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
70,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
69,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
68,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
67,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
66,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
65,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
64,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
63,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
62,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
61,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
60,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
59,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
58,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
57,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
56,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
55,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
54,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
53,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
52,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
51,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
50,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
49,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
48,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
47,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
46,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
45,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
44,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
43,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
42,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
41,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
40,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
39,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
38,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
37,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
36,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
35,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
34,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
33,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
32,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
31,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
30,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
29,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
28,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
27,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
26,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
25,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
24,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
23,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
22,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
21,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
20,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
19,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
18,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
17,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
16,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
15,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
14,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
13,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
12,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
11,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
10,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
9,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
8,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
7,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
6,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
5,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
4,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
3,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
2,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
1,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
